0;Indica qual è dei seguenti un file multimediale:;Documento.mp4 ;Musica_video.xls;Presentazione.txt;Video.doc;;;;
1;Indica quale tra le seguenti è l’unita di misura più piccola:;KB ( KiloByte) ;TB (Terabyte);GB (Gigabyte);MB (Megabyte);;;;
2;ISDN è l’acronimo di:;Integrated Services Digital Network ;Internet Services Data Network;Integrated Standard Digital Network;Intranet Security Data Network;;;;
3;I file eseguiti con WordPad vengono salvati per impostazione predefinita in formato .rtf;Vero ;Falso;;;;;;
4;Quando un file viene eliminato e poi si svuota il cestino, non è più possibile recuperarlo;Falso ;Vero;;;;;;
5;Indica dove è opportuno conservare le proprie password:;Su una agenda personale dove raccogliamo tutte le nostre password, tenuta in un luogo sicuro ;Nessuna delle precedenti;Su chiavette USB;Scrivendole su un post-it da attaccare sul monitor del proprio computer in ufficio;;;;
6;Indica quale tasto deve essere premuto per avviare la Guida in linea:;F1 ;F12;F3;F4;;;;
7;Il termine dial-up indica:;Una connessione a commutazione di circuito ;Un particolare tipo di modem;Un tipo di telefonata effettuata con un cellulare UMTS;Un software che simula un Dialer;;;;
8;Cosa si intende per trackball?;Una periferica di input ;Un software per il riconoscimento delle impronte digitali;Una periferica di output;Una periferica che ha le stesse funzioni di una stampante;;;;
9;Un Byte è composto da:;8 bit ;1024 bit;32 bit;10 bit;;;;
10;Indica quale tra i seguenti, non è un sistema operativo che utilizza un GUI:;MSDOS ;Windows 2000;MAC OSX El Captain;Windows 10;;;;
11;Cosa si intende con il termine e-Learning?;È una tipologia di formazione a distanza che avviene attraverso una rete o Internet ;È un metodo di trasferimento file attraverso il protocollo FTP;Un metodo per la gestione elettronica di libri e materiale didattico;Un software applicativo per lo studio;;;;
12;Quale tra le seguenti memorie ha i tempi di accesso più lenti?;Nastro Magnetico ;Hard Disk;CD-ROM;USB flash drive;;;;
13;Indica quali tasti bisogna premere per catturare solo la attiva:;Alt + Stamp ;Alt+ Tab;Ctrl + Tab;Ctrl + Stamp;;;;
